idx_clusteur,nearest_sample
24,"7 du 16/01/2024 portant abrogation de l'arrêté préfectoral portant fermeture de l'établissement SENNOUNE YOUNES ETAL DE MARCHE ISLA PIZZA 93270 SEVRAN, établissement domicilié 61 avenue Dupuis 93600 Aulnay-sous-Bois. Arrêté préfectoral nº2024-00117 du 17/01/2024 portant fermeture d'urgence de l'établissement BM EPI D'OR 236 avenue Aristide Briand 93320 Les Pavillons-sous-Bois. Direction régionale et interdépartementale de l'environ- nement, de l'aménagement et des transports d'ïle-de- France (DRIEAT-IdF) Arrêté inter-préfectoral DRIEAT – IDF nº 2024-0012 du 15/01/2024 portant modifications des conditions de circulation sur l'A86 Nord Intérieure, pour des travaux de réaménagement de l'échangeur Pleyel et de réalisation des écrans acoustiques du village des athlètes. Arrêté DRIEAT-IDF-2024-0013 du 15/01/2024 portant modification des conditions de circulation sur la RD932, avenue du 08 mai 1945 à Dugny, pour des travaux de réfection de l'enrobé de la chaussée, de reprise de bordures et caniveaux et d'installation de terre végétale. 5 51 55 59 63 67 71 73 77 81"
25, - Arrêté nº 2024-02-06-001 du 6 février 2024 portant subdélégation de signature 1/14 4
26,"4 du 7 mars 2024 abrogeant l'arrêté préfectoral nº 2024-0053 du 10 janvier 2024 portant mise en demeure de la société RAFCO International de clarifier la situation administrative des bâtiments sinistrés situés au 117, boulevard Félix Faure à Aubervilliers (93300) DIRECTION DE LA COORDINATION DES POLITIQUES PUBLIQUES ET DE L'APPUI TERRITORIAL Vu le code de l'environnement, notamment ses articles L. 171-6 à L. 171-8, L. 172-1, L. 514-5, L 557-10 et L. 557-54 à 58 ; Le préfet de la Seine-Saint-Denis Officier de la Légion d'honneur Officier de l'Ordre national du Mérite Vu le décret du 30 juin 2021 portant nomination du préfet de la Seine-Saint-Denis (hors classe) - Monsieur Jacques WITKOWSKI ; Vu le décret du 16 mars 2022 portant nomination de la sous-préfète chargée de mission auprès du préfet de la Seine-Saint-Denis - Madame Cécile RACKETTE ; Vu l'arrêté préfectoral nº 2023-2654 du 04 septembre 2023 donnant délégation de signature à Madame Cécile RACKETTE, sous-préfète chargée de mission auprès du préfet de la Seine-Saint-Denis, secrétaire générale adjointe chargée de l'arrondissement chef-lieu ; Vu l'arrêté préfectoral nº 2024-0053 du 10 janvier 2024 portant mise en demeure de la société RAFCO International de clarifier la situation administrative des bâtiments sinistrés par un incendie situés au 117, boulevard Félix Faure à Aubervilliers (93300); Vu le rapport transmis par la société RAFCO International par courrier électronique du 16 novembre 2023, en réponse à la lettre préfectorale du 15 juin 2023, relatif au positionnement de ses installations vis-à-vis de la législation des installations classées pour la protection de l'environnement ; Bureau de l'environnement 1 esplanade Jean Moulin 93007 BOBIGNY cedex Vu le rapport de l'inspection des installations classées du 17 novembre 2023 faisant suite à l'instruction des éléments de réponse transmis par la société RAFCO International, et proposant de mettre en demeure l'exploitant de préciser, sous un délai de quinze jours, le volume des bâtiments sinistrés à la suite de l'incendie du 30 mai 2023, le volume et le tonnage des matières combustibles présentes sur site en fournissant des justificatifs tels que ceux fournis à sa compagnie d'assurance ; Tél. : 01-41-60 60-60 Mail : pref-bureau-environnement@seine-saint-denis.gouv.fr 33 1"
27," Arrêté n° 2024-00238 autorisant la captation, I enregistrement et la transmission d images au moyen de caméras installées sur des aéronefs le vendredi 23 février 2024 Préfecture de Police - 75-2024-02-22-00011 - Arrêté n° 2024-00238 autorisant la captation, I enregistrement et la transmission d images au moyen de caméras installées sur des aéronefs le vendredi 23 février 2024 14"
28, Arrêté préfectoral du 24 janvier 2024 portant délégation du droit de préemption urbain sur la commune de La Tremblade à l'Établissement Public Foncier de Nouvelle-Aquitaine DIRECTION DÉPARTEMENTALE DES TERRITOIRES ET LA MER - 17-2024-01-24-00003 - Arrêté préfectoral du 24 janvier 2024 portant délégation du droit de préemption urbain sur la commune de La Tremblade à l'Établissement Public Foncier de Nouvelle-Aquitaine 16
29, Arrêté préfectoral nº 2024 01 26-03 Attribuant I habilitation sanitaire à Madame Lise GUIDEZ Direction départementale de la protection des populations 13 - 13-2024-01-26-00014 - Arrêté préfectoral nº 2024 01 26-03 Attribuant habilitation sanitaire à Madame Lise GUIDEZ 17
30, ARRÊTÉ PORTANT AUTORISATION D UN SYSTÈME DE VIDÉOPROTECTION Ouvre- Marseille (13012) Préfecture de police des Bouches-du-Rhône - 13-2024-01-09-00038 - ARRÊTÉ PORTANT AUTORISATION D UN SYSTÈME DE VIDÉOPROTECTION Ouvre - Marseille (13012) 99
31, Arrêté n°24 du 26/02/2024 portant autorisation d'exploitation de cultures marines DDTM 22-22-2024-02-26-00017 - Arrêté n°24 du 26/02/2024 portant autorisation d'exploitation de cultures marines 28
32, 2023 CAB BCS VP 871 CSP PROVINS PREFECTURE DE SEINE-ET-MARNE - D77-2023-07-17-00008 - 2023 CAB BCS VP 871 CSP PROVINS 76
33," du 23 août 2022 donnant délégation de signature à Monsieur Thierry CHAPEL, directeur départemental des territoires des Hautes-Alpes ; VU l'arrêté préfectoral nº05-2023-10-10-00001 du 10 octobre 2023 de subdélégation de signature de Monsieur Thierry CHAPEL, directeur départemental des territoires des Hautes-Alpes, à certains agents de la direction départementale des territoires des Hautes-Alpes ; 2023-2024; VU l'arrêté préfectoral nº05-2023-09-15-00007 du 15 septembre 2023 et son arrêté complémentaire nº05-2023-12-07-00012 du 07 décembre 2023 portant application du statut du fermage pour l'année VU la demande en date du 23 novembre 2023 de M BARIDON qui sollicite une autorisation d'occupation temporaire du domaine public fluvial de la Durance pour l'exploitation agricole d'une parcelle et du pâturage ; VU l'avis favorable de Monsieur le Directeur Départemental des Finances Publiques des Hautes- Alpes en date du 30/01/2024; VU l'absence de réponse de la Fédération Départementale des Chasseurs des Hautes-Alpes à la sollicitation par mail du 21 décembre 2023 sur le pâturage d'animaux en hiver ; CONSIDÉRANT la non nécessité de produire une évaluation des incidences Natura 2000 ; DDT, 3 place du Champsaur - BP 50026-05001 GAP Cedex - Téléphone 04.92.40.35.00 Site internet: www.hautes-alpes.gouv.fr Direction départementale des territoires - ACTE PUBLIABLE 05-2024-01-31-00005 - D107 20240111 AOT Baridon Ventavon vs 102"
34, - Arrêté portant composition de la commission départementale consultative des gens du voyage 4
35, Arrêté n° 030/2024/DDT du 1er février 2024 prononçant l'application du régime forestier pour la commune d'AROFFE sur le territoire communal d'AROFFE Direction départementale des territoires des Vosges - 88-2024-02-01-00008 - Arrêté n° 030/2024/DDT du 1er février 2024 prononçant l'application du régime forestier pour la commune d'AROFFE sur le territoire communal d'AROFFE 19
36," Arrêté préfectoral portant dérogation aux arrêtés permanents sur les règlementations de la circulation sous chantier de l'autoroute A 64 La Pyrénéenne. Pour réaliser des travaux de reprise d'enrobés et d'espaces verts au niveau du diffuseur n° 6 de Peyrehorade sur l'A64 dans le sens Toulouse/Bayonne, la bretelle de sortie de ce diffuseur sera fermée le 26 mars 2024 de 8h30 à 16h30. Direction Départementale des Territoires et de la Mer des Pyrénées-Atlantiques - 64-2024-03-22-00004 - Arrêté préfectoral portant dérogation aux arrêtés permanents sur les règlementations de la circulation sous chantier de l'autoroute A 64 La Pyrénéenne. Pour réaliser des travaux de reprise d'enrobés et d'espaces verts au niveau du diffuseur nº 6 de Pevrehorade sur l'A64 dans le sens. 30"
37, 2024-02-01 ARS-ARA Décision 2024-23-0007 Délég Sign DD 84_ARS_Agence Régionale de Santé Auvergne-Rhône-Alpes - 07-2024-02-01-00004 - 2024-02-01 ARS-ARA Décision 2024-23-0007 Délég Sign DD 78
38, Arrêté préfectoral du 29 janvier 2024 portant renouvellement de l'agrément PREFECTURE 31-31-2024-01-29-00001 - Arrêté préfectoral du 29 janvier 2024 portant renouvellement de l'agrément 6
39, Arrêté préfectoral DCL/BLI/2024-03 portant modification de la composition de la commission départementale de la coopération intercommunale du 8 mars 2024 Direction de la citoyenneté et de la légalité - 02-2024-03-08-00004 - Arrêté préfectoral DCL/BLI/2024-03 portant modification de la composition de la commission départementale de la coopération intercommunale du 8 mars 2024 10
40,"du 6 novembre 1995 portant déconcentration en matière de gestion des personnels de la police nationale; Cabinet du préfet Vu le décret n° 2004-374 du 29 avril 2004 modifié relatif aux pouvoirs des préfets, à l'organisation et à l'action des services de l'Etat dans les régions et départements, notamment son article 77; Vu le décret n° 2006-1780 du 23 décembre 2006 portant délégation de pouvoir en matière de recrutement et de gestion de certains personnels relevant du ministère de l'intérieur; Vu le décret n° 2014-296 du 6 mars 2014 relatif aux secrétariats généraux pour l'administration du ministère de l'intérieur et modifiant diverses dispositions du code de la défense et du code de la sécurité intérieure ; Vu le décret n° 2023-1013 du 2 novembre 2023 relatif aux services déconcentrés et à l'organisation de la police nationale; VU l'arrêté du 30 décembre 2005 modifié, portant déconcentration en matière de gestion des fonctionnaires actifs des services de la police nationale, notamment son article 3; Vu le décret du 20 juillet 2022 par lequel M. Laurent NUÑEZ, préfet, coordonnateur national du renseignement et de la lutte contre le terrorisme, est nommé préfet de police (hors classe) ; Article 1er VU l'arrêté ministériel du 21 décembre 2023 par lequel M. Jean-Marc LUCA, contrôleur général des services actifs de la police nationale, directeur départemental de la sécurité publique à Evry (91), est nommé contrôleur général des services actifs de la police nationale, directeur interdépartemental de la police nationale à Evry (91), à compter du 1er janvier 2024 ; SUR proposition de la préfète, directrice de cabinet, ARRÊTE Délégation est donnée à M. Jean-Marc LUCA, directeur interdépartemental de la police nationale à Evry (91), à l'effet de signer, au nom du préfet de police, les sanctions disciplinaires du premier groupe, avertissement et blâme uniquement, infligées aux fonctionnaires du corps d'encadrement et d'application de la police nationale ainsi qu'à l'ensemble des personnels administratifs, techniques, scientifiques et spécialisés, placés sous son autorité. 1"
41, Arrêté n°ARS-2023-058 du 09/02/2024 fixant les produits de I hospitalisation relatifs aux dotations et forfaits annuels pris en charge par I assurance maladie et versés au Centre Hospitalier d Ajaccio (FINESS EJ - 2A0000014) au titre de l'année 2023 Agence Régionale de Santé de Corse - R20-2024-02-09-00001 - Arrêté n°ARS-2023-058 du 09/02/2024 fixant les produits de I hospitalisation relatifs aux dotations et forfaits annuels pris en charge par I assurance maladie et versés au Centre Hospitalier d Aiaccio (EINESS FL-2A0000014) au titre de l'année 2023 65
42,BSIPA2024100-0031 - Arrêté du 9 avril 2024 portant autorisation derenouvellement d'installation d'un système de vidéoprotection accordée àM. le Responsable Sécurité pour le CREDIT AGRICOLE CHAMPAGNEBOURGOGNE sis route nationale 19 à FONTAINE LES GRES pour une duréede 5 ans elle-même renouvelable
43, 20240322 AP Delegation Signature DDT 07_DDT_Direction Départementale des Territoires de l'Ardèche - 07-2024-03-22-00007 - 20240322 AP Delegation Signature DDT 16
44, Récépissé de déclaration d'un organisme de services à la personne enregistrée sous le N°SAP983733999 DIRECTION DEPARTEMENTALE DE L'EMPLOI DU TRAVAIL ET DES SOLIDARITES - 84-2024-02-15-00005 - Récépissé de déclaration d'un organisme de services à la personne enregistrée sous le N°SAP983733999 22
45, arrêté départemental portant réglementation temporaire de circulation sur l'A20 et l'A89 et une partie du réseau routier départemental à compter du 31 janvier 2024 Préfecture / Cabinet du Préfet / Service des sécurités / Bureau interministériel de défense et de protection civiles - 19-2024-01-31-00001 - arrêté départemental portant réglementation temporaire de circulation sur l'A20 et l'A89 et une partie du réseau routier départemental à compter du 31 janvier 2024 9
46, CHAMPEIX 2024-025 63_DDT Direction Départementale des Territoires du Puy-de-Dôme - 63-2024-01-29-00027 - CHAMPEIX 2024-025 251
47, Arrêté préfectoral du 24/01/2024 portant autorisation au titre de l'article L333-3 du code rural et de la pêche maritime de prise de contrôle de la société GAEC DE LA ROBERTIERE DIRECTION DÉPARTEMENTALE DES TERRITOIRES ET LA MER - 17-2024-01-24-00014 - Arrêté préfectoral du 24/01/2024 portant autorisation au titre de l'article L333-3 du code rural et de la pêche maritime de prise de contrôle de la société GAEC DE LA ROBERTIERE 6
48, Arrêté portant autorisation de l'enregistrement audiovisuel des interventions des agents de police municipale de TRIEL-SUR-SEINE Préfecture des Yvelines - 78-2024-02-22-00003 - Arrêté portant autorisation de l'enregistrement audiovisuel des interventions des agents de police municipale de TRIEL-SUR-SEINE 26
49, Arrêté de prélèvement SRU 2024 - Coudoux Direction Departementale des Territoires et de la Mer 13 - 13-2024-02-27-00012 - Arrêté de prélèvement SRU 2024 - Coudoux 113
50, la poste grande rue saint-chamond.odt 42_Préf_Préfecture de la Loire - 42-2023-12-29-00045 - la poste grande rue saint-chamond.odt 94
51," arrêté préfectoral portant agrément d'exploitation d'un établissement d'enseignement, à titre onéreux, de la conduite des véhicules à moteur et de la sécurité routière : DRIVE Direction départementale des territoires - 47-2024-02-05-00002 - arrêté préfectoral portant agrément d'exploitation d'un établissement d'enseignement, à titre onéreux, de la conduite des véhicules à moteur et de la sécurité routière : DRIVE 9"
52, PREF77-18A24021614120 22 PREFECTURE DE SEINE-ET-MARNE - D77-2024-02-16-00007 - PREF77-18A24021614120
